	BASO	CMP	EOS	ERY	GMP	GRAN	HSC	MEGA	MEP	MONO	PREB
209233_at	122.380952	78.466058	126.396047	121.999067	109.50257	301.391792	269.208456	132.008993	224.057251	203.4076	101.014875
209234_at	152.368049	92.600708	240.732778	156.675606	297.223737	436.670468	440.867051	261.748795	224.262283	485.847404	134.678629
209235_at	20.952773	16.837885	18.606748	21.957398	22.400472	25.723495	23.330402	20.850546	21.24722	22.466594	18.005885
209236_at	37.410145	16.800571	27.68007	24.310157	25.3571	53.337426	44.549011	41.357673	28.183081	49.604679	35.793207
209237_s_at	24.820674	15.646825	24.655132	20.772086	29.131154	34.660281	27.11367	24.834723	22.941058	27.348858	20.502
209238_at	46.862174	19.205445	44.311913	13.499791	32.087668	80.319882	60.785138	48.777756	17.929166	111.989302	49.5899
209239_at	28.585523	22.140752	25.337815	20.330456	25.467226	43.868728	26.874883	29.03583	24.008525	43.4394	28.831684
209240_at	1922.878108	2178.51237	2064.736934	2755.817563	2171.791603	2598.516053	3314.085997	2198.851392	2573.837997	2315.982994	2120.041714
209241_x_at	57.830028	29.389374	43.303146	53.566801	65.144317	102.096765	56.160645	75.648068	39.388791	90.088557	40.111498
209242_at	49.186204	36.802243	67.048153	51.27473	53.131659	48.296069	61.774054	52.820015	66.103844	53.571126	43.077566
209243_s_at	36.303505	36.73858	48.713446	40.793496	47.293757	39.750125	52.136829	43.117747	51.464108	35.570477	34.650907
209244_s_at	215.153264	193.351664	262.854388	211.738583	228.038217	261.475381	123.102253	214.081752	160.10514	323.916122	201.5012
209245_s_at	69.005557	49.342994	55.071954	57.959653	55.808742	52.093378	69.892823	68.897674	54.824345	59.070585	46.492114
209246_at	28.678078	37.325811	26.75555	26.981412	30.531811	29.242458	28.281474	28.657161	29.906596	33.561483	34.893974
209247_s_at	27.867949	21.429134	31.710138	27.731149	25.830649	33.23082	30.441983	27.141092	29.352297	34.590831	24.478709
209248_at	1413.967614	1798.332703	1326.293376	3506.022025	1881.226195	2215.15415	2294.37217	2034.942493	2023.560167	2660.408994	1674.958742
209249_s_at	190.114167	92.262466	196.345165	1230.072023	207.278709	345.133863	315.580804	251.682898	210.92481	485.296324	161.404899
209250_at	221.63427	133.538092	212.068702	160.367478	373.559093	405.383489	222.329547	194.61449	202.975468	485.96453	185.585481
209251_x_at	283.869818	629.333746	446.970708	1502.987935	788.320688	776.590965	1171.493273	956.987574	1303.05184	1040.259812	255.138595
209252_at	52.257083	23.010022	52.50137	37.150226	51.932212	122.858753	91.355016	55.2051	56.920314	82.604909	46.734355
209253_at	32.894581	33.264348	22.731481	26.626102	20.491716	23.590956	27.255191	32.509146	27.184805	26.746086	48.576038
209254_at	29.476524	24.271333	25.733477	31.614747	24.793997	28.493131	31.001614	31.283022	27.652198	32.522097	27.417029
209255_at	268.47844	234.843082	331.109796	693.9897	420.659002	715.531753	654.111312	304.582273	439.082973	422.597393	228.970341
209256_s_at	271.814081	260.437341	274.963285	836.457242	251.479682	463.430412	684.251074	388.848482	478.858286	533.284029	379.008946
209257_s_at	622.207993	740.278601	644.97514	719.17798	962.525899	1000.234791	981.818844	1016.449366	1133.550128	929.762327	704.527002
209258_s_at	426.485777	688.411559	669.05353	574.628381	619.00882	874.435961	980.389112	602.061653	926.02361	696.210315	595.701123
209259_s_at	84.185309	59.666434	91.125588	106.640355	190.370537	208.219661	210.129499	110.571188	189.456338	155.785336	83.698197
209260_at	18.728298	14.160865	14.983069	15.419001	17.29772	19.454575	18.105621	18.461514	16.873198	17.691171	18.471642
209261_s_at	19.388937	20.960212	17.714667	19.44979	20.102019	19.761225	20.022863	19.409173	19.259241	17.941989	19.29127
209262_s_at	39.355306	30.354725	28.966251	42.964865	43.025733	37.381262	66.473297	49.008778	60.769628	44.548196	52.790297
209263_x_at	66.493485	52.45718	47.185386	62.001327	69.960101	73.747317	84.847215	66.550166	60.545017	92.095115	58.860753
209264_s_at	19.218956	22.274303	18.920487	19.319094	21.016379	23.36942	21.475488	20.828963	20.232804	21.928117	22.1689
209265_s_at	692.733329	962.390473	932.810335	602.772195	829.222811	900.803149	1293.256827	708.199582	1243.319201	891.539856	852.642777
209266_s_at	21.324073	16.039164	18.875624	18.867825	19.716456	20.36173	19.789111	22.871665	18.395676	20.107673	20.66209
209267_s_at	107.043078	208.849239	121.609886	460.435748	229.374945	220.395651	967.074508	204.42259	768.911228	111.949363	141.390436
209268_at	99.445814	52.282825	109.906323	56.248578	149.063203	209.46954	146.418105	117.579559	104.815049	191.058074	103.529216
209269_s_at	131.540705	41.183741	87.559579	43.479244	59.712286	179.277551	102.00147	97.481595	53.377929	247.351108	125.319631
209270_at	20.016453	24.182654	18.57926	19.254609	21.834604	19.181785	19.684901	19.924825	20.612405	18.96444	20.840489
