Reference_ID	Celltype	Subclass	Class	Markers	Type
MONO1_3	Colony Forming Unit-Monocyte (CFU-M)	MONO1 	MONO	CD34- CD33+ CD13+ 	MONO1 
MONO1_4	Colony Forming Unit-Monocyte (CFU-M)	MONO1 	MONO	CD34- CD33+ CD13+ 	MONO1 
MONO2_1	Monocyte	MONO2 	MONO	FSChi SSClo CD14+ CD45dim 	MONO2 
MONO2_2	Monocyte	MONO2 	MONO	FSChi SSClo CD14+ CD45dim 	MONO2 
MONO2_3	Monocyte	MONO2 	MONO	FSChi SSClo CD14+ CD45dim 	MONO2 
MONO2_4	Monocyte	MONO2 	MONO	FSChi SSClo CD14+ CD45dim 	MONO2 
MONO2_5	Monocyte	MONO2 	MONO	FSChi SSClo CD14+ CD45dim 	MONO2 
PREB2_1	Early B Cells	PREB1	PREB	CD34+ CD10+ CD19+ 	PREB1
PREB2_2	Early B Cells	PREB1	PREB	CD34+ CD10+ CD19+ 	PREB1
PREB2_3	Early B Cells	PREB1	PREB	CD34+ CD10+ CD19+ 	PREB1
PREB2_4	Early B Cells	PREB1	PREB	CD34+ CD10+ CD19+ 	PREB1
PREB3_1	Pro-B Cells	PREB2	PREB	CD34- CD10+ CD19+ 	PREB2
PREB3_2	Pro-B Cells	PREB2	PREB	CD34- CD10+ CD19+ 	PREB2
PREB3_3	Pro-B Cells	PREB2	PREB	CD34- CD10+ CD19+ 	PREB2
PREB3_4	Pro-B Cells	PREB2	PREB	CD34- CD10+ CD19+ 	PREB2
PREB3_5	Pro-B Cells	PREB2	PREB	CD34- CD10+ CD19+ 	PREB2
