	BASO	CMP	EOS	ERY	GMP	GRAN	HSC	MEGA	MEP	MONO	PREB
211686_s_at	359.256345	445.622097	422.572534	279.898825	587.49505	599.321958	661.907085	410.843964	883.695529	366.662474	276.054189
211687_x_at	28.651682	30.091662	37.013182	31.561683	33.56553	48.492208	29.600346	29.999069	33.229834	34.339737	29.6716
211688_x_at	40.560793	45.996618	36.120188	37.460397	37.400014	49.01129	32.24527	38.507301	37.583753	35.785102	54.381122
211689_s_at	28.591823	30.006038	26.959581	28.336766	26.648716	28.597794	29.326596	29.081189	28.246961	29.270733	26.721653
211690_at	41.333643	65.512369	39.188051	39.540561	44.649031	31.685615	34.510906	40.641138	43.080568	38.360135	53.941324
211691_x_at	21.808271	14.823027	18.03664	22.34795	23.059259	25.84613	24.13968	22.202529	21.653332	23.714723	21.963928
211692_s_at	30.01927	34.97217	42.882758	42.293007	47.492623	47.247462	40.64447	38.868077	40.913154	51.983998	27.140715
211693_at	25.642518	23.123028	18.448432	21.287783	23.693441	26.720674	27.603797	27.528544	20.467377	24.646876	27.90346
211694_at	35.057066	42.610174	30.521919	29.973967	30.396391	25.530693	27.657088	31.453884	35.164617	29.928774	52.568561
211695_x_at	35.349	50.539301	40.710374	55.272123	45.235746	44.202551	56.530882	36.007293	62.959029	43.905728	39.547462
211696_x_at	4344.79805	8748.248227	2000.146469	20755.104004	7108.063103	5194.804332	10351.907068	4953.810056	9019.596214	5448.41502	2656.680749
211697_x_at	1086.949289	1752.45884	1213.258562	912.825672	1545.250338	1024.807919	992.596081	891.118515	1123.624595	961.133747	726.341243
211698_at	245.405827	481.187425	232.375876	439.386519	399.048058	356.756867	600.708302	364.717012	512.475003	438.013472	222.290579
211699_x_at	2998.564784	10007.662227	1675.112913	19763.971658	7286.718215	6078.015866	10902.215213	3560.862026	10689.807987	5635.22356	1642.246246
211700_s_at	22.373538	27.657716	20.626573	28.439842	25.551368	27.893045	55.060624	23.885525	39.67525	23.477387	24.978273
211701_s_at	131.260477	234.312187	187.002555	155.756706	134.335784	72.149595	233.926749	145.450703	213.195015	109.652997	200.323996
211702_s_at	71.448793	23.99887	35.868232	630.978438	44.202789	76.061419	68.850639	84.614744	46.599922	102.730474	89.50885
211703_s_at	109.037708	55.323878	162.6781	88.14328	268.600768	213.334967	169.172795	107.154337	141.125615	159.886349	60.175759
211704_s_at	39.257825	42.497335	29.894148	48.098721	58.780807	45.211912	97.918049	56.257151	71.696005	38.938287	47.90532
211705_s_at	37.219722	45.855236	34.638078	37.058096	38.889841	40.961621	41.651692	39.434906	38.612592	35.516099	40.377184
211706_s_at	32.155708	33.285444	31.516175	34.124071	28.566948	31.037399	31.094644	31.935569	32.381836	37.937842	33.275211
211707_s_at	74.157902	43.211268	56.949961	52.793738	67.747236	89.382834	98.31019	64.781899	93.516796	63.868357	72.373878
211708_s_at	32.932525	26.354432	32.050012	33.012172	32.09001	35.590801	36.346812	33.18362	32.494036	32.678671	26.22057
211709_s_at	28.536982	58.769264	36.863658	45.492477	66.371599	32.304447	62.036301	32.186009	70.833143	38.583634	31.456903
211710_x_at	3315.915278	5561.477356	2919.098259	3036.556858	3676.082655	3981.234021	5088.919706	3206.783856	5917.688411	4407.001835	2877.128589
211711_s_at	599.623478	595.990604	573.077553	753.819541	687.98037	800.448325	632.350687	559.573067	645.361709	972.393115	548.646856
211712_s_at	34.990375	31.645357	39.729173	34.200083	36.190458	39.213286	36.701717	37.628977	35.567981	40.310524	29.919824
211713_x_at	127.878231	108.387294	129.77359	115.73687	202.897784	115.137855	105.522482	130.965994	201.031202	125.732268	133.129985
211714_x_at	320.828889	1641.091294	628.336827	2080.643701	1277.9095	1298.234433	1442.713311	601.405664	2365.825506	582.109492	562.197199
211715_s_at	36.475278	38.233495	32.687175	41.278775	45.508059	41.68246	49.554549	36.308097	65.492647	36.738476	50.109229
211716_x_at	33.105565	15.737223	22.175656	25.445596	31.677578	51.188675	35.825221	39.032954	25.62279	42.284441	35.852393
211717_at	29.186866	12.885869	19.051076	18.03835	33.670593	39.125735	28.771955	36.582225	25.983552	37.126409	41.077086
211718_at	39.109135	34.103485	41.987126	37.753898	36.217437	37.624765	38.687351	38.486488	38.605658	39.432045	31.815693
211719_x_at	42.254683	33.647192	42.756826	52.315665	34.35067	114.509703	64.006371	49.649303	39.30459	69.815721	40.755589
