	Lin-_1	Lin-_2	MNC_1	MNC_2
209138_x_at	837.3285952594	791.9312285893	4658.3595715196	4085.084789464
209139_s_at	672.9755989427	646.3063242267	395.1668677921	393.1617599066
209140_x_at	7407.2411782775	7272.6855183116	16791.1176063214	16031.8435742791
209141_at	652.7447298462	758.9547184001	916.0748995713	893.4482775378
209142_s_at	447.2851173832	397.0915342263	537.5211944132	490.700721601
209143_s_at	6105.6220990788	5942.3906709476	2453.2230490272	2130.4447950201
209144_s_at	96.9344575573	98.603796339	106.6968026494	114.6394628708
209145_s_at	66.7502970649	72.5012609959	77.4354666395	68.8602597592
209146_at	868.9423954137	900.7117490023	943.988713117	821.1071465195
209147_s_at	168.920196777	180.7114856932	150.2485476314	153.0228484609
209148_at	311.040602707	281.0198195515	353.9604782613	358.5745551467
209149_s_at	158.5484419129	175.3214761446	119.9175130379	138.8779761289
209150_s_at	319.5566080482	366.3117528488	379.4855845164	369.9861000388
209151_x_at	91.9278750046	103.928622396	79.4558623341	76.7515239279
209152_s_at	469.2498964068	450.8721013921	266.9917629714	270.5817538552
209153_s_at	1643.529451432	1498.7842576052	700.2028917168	715.1411139708
209154_at	1090.1274845984	1080.8976914263	1017.9001148403	875.3868812186
209155_s_at	1161.7729050851	1091.3004363332	1587.8382154479	1391.5142074317
209156_s_at	67.9626241096	62.8518552627	60.169880302	62.7178896698
209157_at	327.9747629	347.8277063744	438.0960023275	484.2324834325
209158_s_at	853.857655965	775.7475054575	614.0161009238	621.1700642641
209159_s_at	56.9369837377	47.8677980448	38.4316142269	28.3987811537
209160_at	2051.439318052	1871.481523944	351.79699145	378.9752754903
209161_at	1531.4967099052	1363.5670129613	819.6733633538	764.5752145013
209162_s_at	187.0485025333	189.8417783301	132.2833315621	133.4686062267
209163_at	768.5239039002	747.6870136219	191.8809686543	195.9516532195
209164_s_at	156.2475900933	183.653200577	71.7750433145	65.6481292156
209165_at	673.2996634514	620.626486039	517.3812377877	529.3987359621
209166_s_at	764.4149144012	745.8567224744	1223.8910108991	1150.9594589602
