	GSM819140	GSM819141	GSM819142	GSM819152	GSM819153	GSM819154
10344939	3.026351557	2.888247176	2.656078362	3.310856291	2.701311133	3.578663398
10344950	2.444155054	2.951386619	3.247853643	4.291220813	3.306660707	3.127339795
10344952	3.616505057	4.201567076	3.065183502	3.282463695	4.037406271	4.40089403
10344960	6.03399048	6.078440886	6.152945198	6.024883725	6.197539055	6.020020192
10344966	1.983337591	1.983337591	1.915532464	2.678718251	2.327080362	1.974780124
10344973	3.002138957	2.897444378	3.663509481	3.303052104	3.306596326	2.812538386
10344981	1.772572198	1.918208339	2.150782339	1.940903528	1.922281118	2.083401532
10344990	2.692980807	2.50705024	2.763275093	3.141137678	2.569342715	2.813941161
10345007	3.928377751	3.119241123	2.670040977	2.857403986	2.700716986	2.670511159
10345016	6.786197635	6.573141881	6.173048364	3.285278598	3.80619677	3.806756563
10345032	2.244354835	2.298812025	2.316405231	2.335670062	2.43545312	2.417631211
10345037	3.242804169	2.80470988	3.14966341	2.771383587	2.765009142	2.817334912
10345046	2.215758742	1.873557627	1.951396056	1.998542991	1.981195261	2.215758742
10345058	5.450242668	5.457502698	5.250566341	4.273316929	5.185519599	3.324511779
10345065	3.471641817	3.366360529	4.298535002	3.879024044	2.858812811	3.015439825
10345074	2.609129427	2.321685571	1.899634951	3.518231199	3.268105216	2.198595294
10345077	1.948778277	1.754871459	1.997294346	1.660631457	1.513458037	2.165160478
10345083	2.165868571	2.274519155	2.014101741	2.126323234	2.210435695	2.20501941
10345091	3.152357282	3.028618242	3.624531039	2.995346062	3.028618242	2.868923128
10345099	2.70904757	2.790172364	4.0489862	3.132259148	3.292443225	2.999918929
10345101	3.730343674	3.905564442	4.156813208	3.667533058	3.925944121	3.925944121
10345141	5.847494708	5.85981782	5.734558341	5.574041875	5.567139383	5.590824122
10345167	2.080662445	1.956276297	1.955896528	2.21934118	1.694182673	4.195054844
10345172	3.322769943	6.319223044	4.339166573	3.556179582	3.152389296	3.618480221
10345181	1.561044278	1.76686639	1.746534594	1.609553801	1.730343654	1.76686639
10345183	6.366612881	6.481253926	6.327807604	6.885082798	5.932994046	5.79007724
10345190	2.914798062	2.491974607	2.480750493	2.51958934	3.171973961	2.691566309
10345197	1.99298365	1.814600453	1.853046955	1.701309222	1.822014847	1.587428216
10345203	2.66160976	3.194557071	2.861051556	2.470647266	2.549160548	2.454285989
10345212	3.870837542	4.129908507	3.828005562	3.782799217	3.258045894	3.4062251
10345228	2.657141145	2.911508775	3.133454138	2.905103181	2.851790514	3.158770701
10345230	3.504326753	2.385341263	2.554811162	2.569325131	2.380088505	2.510744586
10345241	2.499049411	2.570375597	2.513809893	2.502166133	2.483378329	2.257076719
10345357	4.774604886	4.317780664	4.29387597	3.569651548	4.821217804	3.348257198
10345368	2.118978637	2.141436916	2.022844998	2.150717079	2.040804338	1.808858713
10345370	2.700886488	2.374602268	2.920845175	3.020321985	2.52232576	3.28891795
10345387	1.813769862	1.881709203	2.21857514	2.307303829	2.42518106	2.197528191
10345393	2.923769077	2.990002528	2.633972533	3.091507779	2.865680082	2.348818709
10345401	2.879819306	2.308132748	3.045412234	2.256860005	2.371321688	2.70287909
10345404	2.980801083	2.632355539	3.209469201	3.0099188	3.069785043	3.01470901
10345411	3.551592272	4.021228456	3.459664598	3.913671038	3.812329707	3.849439466
10345423	3.270653155	3.256560703	3.124506261	4.078566142	4.030357336	2.861992582
10345436	2.381510977	2.287666877	2.1659675	1.931199901	3.821374386	2.55177863
10345442	3.568462095	3.701545804	3.701521064	3.330329911	3.183572237	3.075023451
10345445	3.957924621	3.769265226	3.993381125	3.406565165	3.457321381	3.141181155
10345457	2.06620617	2.113592019	2.02360999	1.967991651	1.768730404	1.942268338
10345482	2.519851644	2.192329156	2.364310914	2.388859785	2.66821916	2.567473962
