	ChAT	Cone
10347726	2.608615816	2.573188209
10347728	4.825812524	5.47558031433333
10347734	2.893252185	2.931928198
10347741	3.248187019	8.906463351
10347748	3.270529787	3.80939161333333
10347767	2.349744445	2.50793730366667
10347772	1.85121552433333	1.94318028
10347774	6.42944736766667	6.80577410233333
10347779	1.88206497766667	1.86431992533333
10347781	2.18919264066667	2.24748546133333
10347792	4.51394636133333	3.98248030166667
10347796	2.83516113666667	2.77793524
10347807	3.09743274766667	3.10576539933333
10347862	5.95859050566667	5.03351480666667
10347873	4.71145854733333	4.03944713666667
10347888	2.64330586	2.698144917
10347895	1.703351566	1.77221655766667
10347910	3.99285500166667	3.92456931566667
10347915	4.19608108033333	4.57311622833333
10347917	8.70362526166667	8.640336231
10347919	4.898146463	6.36735529533333
10347925	3.779934516	4.07673535
10347928	2.129017841	2.089312332
10347931	2.825216899	2.93716772633333
10347933	4.008384339	4.02366148666667
10347948	2.03219618	2.22466429833333
10347970	2.890198186	2.95363527
10347980	7.110412295	5.03042834333333
10347988	2.500640722	3.008662585
10347992	1.89908982733333	1.811030068
10348000	4.35179111966667	3.23381148233333
10348004	6.52243732633333	6.46319926266667
10348032	4.01822319533333	5.05135480466667
10348062	3.56675365	3.45220127133333
10348070	4.53326552766667	4.81701600733333
10348072	3.57474491033333	3.52804302066667
10348074	3.36308907833333	3.249591145
10348076	3.437454402	3.47900146633333
10348078	8.16771737833333	8.433165299
10348087	3.07201194166667	3.06494656433333
10348096	2.49433514033333	2.25395542266667
10348131	2.951449299	2.80771133433333
10348144	2.72638745066667	2.76843234066667
10348150	2.63497271433333	2.492286884
10348166	2.78892381233333	2.90595274566667
10348180	4.986448941	5.19297699633333
10348194	2.239673851	2.32428928
10348201	2.97981388166667	3.16438469566667
10348234	2.45555984366667	2.58712864833333
10348240	2.28354707	2.310972489
10348244	2.66342257266667	2.70696231833333
10348277	4.57451253633333	3.58153959166667
10348299	3.95060437866667	5.460675606
10348301	8.221510126	11.00937115
10348321	3.086146205	3.81572610533333
10348354	2.596770925	2.77267118633333
10348376	2.43400052166667	2.41143526366667
10348378	2.17781059766667	2.27716545366667
10348410	1.88761588266667	2.02508715733333
10348424	4.34948684933333	3.95115128966667
10348432	2.61619424133333	2.96940273233333
10348451	3.58294952033333	3.063625102
10348456	6.01291512366667	5.09718265366667
10348468	2.862793252	2.328773255
10348471	3.32933024733333	3.53484922833333
10348489	4.01506719066667	4.36411064333333
10348493	3.466909008	2.993107111
10348521	2.12743241466667	2.261154773
10348537	2.69282608866667	3.04232156366667
10348547	4.20738484966667	4.18111713433333
10348556	1.83503901233333	1.663409286
10348558	2.968710482	2.84702303333333
10348570	3.69795519	3.84335453933333
10348580	2.55061602833333	2.81358734833333
10348590	2.797178559	2.86123347766667
10348600	2.84155510333333	3.05290849133333
10348618	3.999357227	3.83106535266667
10348632	2.795789964	2.819740077
10348635	2.99100057366667	3.11090230966667
10348637	2.47840061433333	2.773319937
10348639	2.587619959	2.74336941833333
10348641	3.70449142366667	3.647438548
10348643	2.78865834266667	2.47146127366667
10348645	2.86178551066667	3.07365943033333
10348653	2.784149228	2.78539783066667
10348666	4.36762023033333	3.84560836766667
10348670	2.56802034866667	2.52317004166667
10348682	4.12523602366667	3.761236323
10348697	3.15452403466667	2.938669521
10348702	2.12139779533333	2.07348822933333
