	Blood	Breast
1552506_at	18.10268047	14.6631143266667
1552507_at	28.3609147766667	119.6448958
1552508_at	38.3975286866667	126.182136333333
1552509_a_at	14.70612557	15.1051587333333
1552510_at	570.391078533333	395.229768133333
1552511_a_at	10.4024911936667	12.2514216133333
1552514_at	9.32952322133333	12.2788492833333
1552515_at	25.0155962366667	20.1108953933333
1552516_a_at	172.3490137	40.4267033633333
1552518_s_at	23.3681299466667	26.2192125366667
1552519_at	52.1563542933333	35.1675423866667
1552520_at	17.0335746866667	16.86260279
1552521_a_at	8.08578130033333	7.30626760066667
1552522_at	7.362409551	8.76177100633333
1552523_a_at	62.3172366766667	47.8832275866667
1552524_at	170.106349366667	98.2191860433333
1552526_at	53.3129183533333	38.5937627233333
1552528_at	111.303077533333	103.586069116667
1552531_a_at	20.84899411	19.5995182533333
1552532_a_at	11.9157223966667	14.0394175333333
1552535_at	71.6477984233333	56.8374819066667
1552536_at	96.3543301333333	52.1420773833333
1552538_a_at	29.0214964933333	17.1946549733333
1552540_s_at	57.97238839	51.0652213366667
1552541_at	421.555841666667	84.50961069
1552542_s_at	320.8038174	23.4314523233333
1552543_a_at	34.6199302966667	27.65728975
1552544_at	47.5144815366667	50.15284506
1552546_a_at	25.5942730266667	24.3073166366667
1552548_at	36.48575583	21.36291317
1552549_a_at	101.10732377	68.29115819
1552552_s_at	20.08747813	11.82379657
1552553_a_at	271.476754033333	37.9744980766667
1552554_a_at	59.1944431933333	20.6958449533333
1552555_at	85.14934976	47.0185152633333
1552557_a_at	9.97270050866667	10.6073535433333
1552558_a_at	207.921500433333	120.667532266667
1552559_a_at	39.4195270133333	33.22973159
1552562_at	35.75789446	30.5352228666667
1552563_a_at	18.5433956666667	9.751003955
1552564_at	26.1519311033333	15.7358904
1552566_at	26.5181641366667	16.2775035033333
1552568_at	81.5283011866667	40.4790491066667
1552569_a_at	25.6785814733333	19.4158416833333
1552570_at	31.9684567066667	24.6234592633333
1552572_a_at	7.84758885533333	12.43073196
1552573_s_at	32.0811589366667	44.77888864
1552575_a_at	45.4313901366667	546.5118477
1552576_at	39.5547808166667	34.7559863766667
1552578_a_at	11.3205088266667	10.119955259
1552579_a_at	25.1951992733333	18.5072234966667
1552580_at	80.8512077566667	37.0733474766667
1552582_at	20.1385375366667	25.7337333733333
1552583_s_at	226.1830998	60.0007049433333
1552584_at	324.055891733333	60.2452285466667
1552585_s_at	10.458349168	8.82453873
1552586_at	98.5189900833333	65.1553135466667
1552587_at	11.90970999	10.6934430066667
1552588_a_at	10.3546309013333	9.91251330333333
1552590_a_at	15.1679675966667	13.6449511166667
1552592_at	9.61559946733333	8.515833058
1552594_at	85.9363919833333	55.7341315166667
1552596_at	138.5280773	103.942189733333
1552598_at	45.1250933066667	40.55085347
1552599_at	19.83923445	14.2787354233333
1552602_at	57.87515464	56.32323461
1552604_at	65.16075615	36.3334431833333
1552605_s_at	20.22099885	16.83760735
1552607_at	66.5407784833333	32.6774899366667
1552608_at	33.82253127	24.106463
1552609_s_at	24.0772625766667	18.7334261566667
1552610_a_at	1172.57037666667	354.4335604
1552611_a_at	316.827081466667	126.961285133333
1552612_at	675.681194	155.648256266667
1552613_s_at	463.289377	111.35836522
1552615_at	397.432780033333	227.190399233333
1552616_a_at	50.1915950166667	47.22065275
1552617_a_at	709.311148366667	352.005634
1552618_at	284.868273433333	308.5634454
1552619_a_at	15.92426371	208.303410666667
1552620_at	193.059495366667	133.225232766667
1552621_at	295.657854366667	414.538816233333
1552622_s_at	151.851857633333	250.6721024
1552623_at	138.1374765	79.18062888
1552625_a_at	45.95015486	80.1958118033333
1552626_a_at	23.1798945133333	24.9848037733333
1552627_a_at	19.75553318	55.57066166
1552628_a_at	404.882961866667	313.8581277
1552629_a_at	32.97527973	20.4289495833333
1552630_a_at	82.4969319666667	94.2517009933333
